id,ms,series
1,50.655473,histogram_mapd
2,87.778763,histogram_mapd
3,45.807976,histogram_mapd
4,50.196485,histogram_mapd
5,43.524205,histogram_mapd
6,42.405161,histogram_mapd
7,48.915782,histogram_mapd
8,49.767872,histogram_mapd
9,44.691934,histogram_mapd
10,43.328425,histogram_mapd
11,42.76754,histogram_mapd
12,46.742662,histogram_mapd
13,43.934435,histogram_mapd
14,44.101227,histogram_mapd
15,48.012065,histogram_mapd
16,33.711749,histogram_mapd
17,37.657061,histogram_mapd
18,40.648249,histogram_mapd
19,37.855044,histogram_mapd
20,43.18392,histogram_mapd
21,36.937822,histogram_mapd
22,35.256888,histogram_mapd
23,33.852702,histogram_mapd
24,43.397999,histogram_mapd
25,32.734256,histogram_mapd
26,34.896718,histogram_mapd
27,38.482575,histogram_mapd
28,35.012963,histogram_mapd
29,39.89455,histogram_mapd
30,39.83894,histogram_mapd
31,38.218927,histogram_mapd
32,35.796458,histogram_mapd
33,55.237398,histogram_mapd
34,44.059121,histogram_mapd
1,119.766546,histogram_mongo
2,117.681019,histogram_mongo
3,119.636823,histogram_mongo
4,115.122612,histogram_mongo
5,121.751321,histogram_mongo
6,118.089562,histogram_mongo
7,119.229772,histogram_mongo
8,117.984845,histogram_mongo
9,123.77673,histogram_mongo
10,119.382361,histogram_mongo
11,127.530671,histogram_mongo
12,118.826535,histogram_mongo
13,120.794919,histogram_mongo
14,116.152135,histogram_mongo
15,121.442353,histogram_mongo
16,115.535175,histogram_mongo
17,115.597486,histogram_mongo
18,118.758605,histogram_mongo
19,116.854309,histogram_mongo
20,118.511522,histogram_mongo
21,118.259418,histogram_mongo
22,120.961803,histogram_mongo
23,119.342654,histogram_mongo
24,117.140013,histogram_mongo
25,119.098578,histogram_mongo
26,114.703621,histogram_mongo
27,120.158291,histogram_mongo
28,129.239198,histogram_mongo
29,117.511229,histogram_mongo
30,115.030478,histogram_mongo
31,120.853428,histogram_mongo
32,119.098333,histogram_mongo
33,119.915679,histogram_mongo
34,121.111922,histogram_mongo
1,31.179406,histogram_mysql
2,33.91731,histogram_mysql
3,30.974106,histogram_mysql
4,33.202218,histogram_mysql
5,33.518191,histogram_mysql
6,30.510771,histogram_mysql
7,32.233137,histogram_mysql
8,34.256862,histogram_mysql
9,31.866055,histogram_mysql
10,30.911562,histogram_mysql
11,46.280026,histogram_mysql
12,37.760254,histogram_mysql
13,30.642363,histogram_mysql
14,34.15194,histogram_mysql
15,32.675626,histogram_mysql
16,32.328642,histogram_mysql
17,31.349468,histogram_mysql
18,30.37043,histogram_mysql
19,31.912004,histogram_mysql
20,34.66345,histogram_mysql
21,32.354307,histogram_mysql
22,31.195078,histogram_mysql
23,32.061579,histogram_mysql
24,37.170323,histogram_mysql
25,36.836847,histogram_mysql
26,31.376812,histogram_mysql
27,32.838495,histogram_mysql
28,47.224306,histogram_mysql
29,33.718732,histogram_mysql
30,33.466738,histogram_mysql
31,33.986074,histogram_mysql
